,name,batch,2021,2020,2019,2018,2017,2016,2015
31,保定理工学院,本科二批,273082,273082,273082,273082,273082,273082,273082
32,保定学院,本科二批,153381,140403,141960,162553,128280,135713,135713
33,北部湾大学,本科二批,148869,143264,155299,161238,164009,161742,161742
34,北方工业大学,本科一批,35958,35994,30538,30752,29805,28432,28267
35,北方民族大学,本科二批,139904,144698,127545,129399,119499,124155,124155
36,北方民族大学,本科一批,96108,109540,109540,109540,109540,109540,109540
37,北海艺术设计学院,本科二批,271535,271775,272463,244748,250171,250171,250171
38,北华大学,本科二批,145875,116385,225127,107979,98741,99611,83871
39,北华航天工业学院,本科二批,121053,110870,109722,107979,98741,91462,81363
40,北京城市学院,本科二批,237132,202887,187430,198558,199075,199075,199075
41,北京大学,本科一批,111,107,96,95,103,84,77
42,北京大学医学部,本科一批,255,298,296,354,377,279,340
43,北京第二外国语学院,本科一批,42114,52176,25787,28843,19731,20370,22707
44,北京第二外国语学院中瑞酒店管理学院,本科二批,295123,285539,277885,265175,265175,265175,265175
45,北京服装学院,本科二批,119572,116385,104489,106733,87270,81346,77740
46,北京工商大学,本科一批,41207,40431,34852,32759,26093,26585,27001
47,北京工商大学嘉华学院,本科二批,286455,285539,275178,261356,255748,255748,255748
48,北京工业大学,本科一批,12952,12897,11615,11056,12032,11908,12809
49,北京工业大学耿丹学院,本科二批,282125,283127,208112,216449,188865,188865,188865
50,北京航空航天大学,本科一批,1046,1159,1275,1146,4722,1148,1200
51,北京化工大学,本科一批,18358,16139,14629,13715,13936,13858,14104
52,北京建筑大学,本科一批,40304,41377,33407,32011,29805,29092,25115
53,北京交通大学,本科一批,12135,12396,9020,7555,7688,7677,7763
54,北京科技大学,本科一批,12135,11437,10848,10013,9372,8536,8640
55,北京科技大学天津学院,本科二批,230786,227021,222067,210923,196567,196567,196567
56,北京理工大学,本科一批,2055,2065,2638,2928,3561,3138,3195
57,北京理工大学珠海学院,本科二批,233927,158828,161404,168099,171775,171775,171775
58,北京理工大学珠海学院,本科一批,108202,109540,107111,107111,107111,107111,107111
59,北京联合大学,本科二批,105431,98716,113728,66544,66578,68889,68889
60,北京联合大学,本科一批,55959,47088,57178,34859,31135,32459,33222
61,北京林业大学,本科一批,28109,40431,19118,17190,17352,16963,18345
62,北京农学院,本科二批,116712,109540,108397,111672,87270,83527,79003
63,北京师范大学,本科一批,8107,8107,8107,8107,8107,8107,8107
64,北京师范大学-香港浸会大学联合国际学院,本科一批,102673,108151,54123,61855,65849,58832,58832
65,北京石油化工学院,本科二批,115307,101503,93105,98319,83016,71835,59871
66,北京体育大学,本科一批,50842,50842,50842,50842,50842,50842,50842
67,北京外国语大学,本科一批,10535,9653,11615,6252,4917,4881,5681
68,北京物资学院,本科一批,69571,45122,43018,48886,37276,35978,35398
